Curse|GEN|Shooter|Micronet|Micronet|0.0|0.00|0.00|0.00|0.00|0.00|1989-12-23
Godzilla Generations|DC|Action|Sega|General Entertainment|3.2|0.08|0.00|0.08|0.00|0.00|1998-11-27
Cyber Sled (Arcade)|VC|Shooter|Namco Bandai|Namco|0.0|0.00|0.00|0.00|0.00|0.00|2009-05-19
Like Life|PC|Adventure|HookSoft|HookSoft|0.0|0.00|0.00|0.00|0.00|0.00|2004-05-28
Outlaws|PC|Shooter|LucasArts|LucasArts|0.0|0.00|0.00|0.00|0.00|0.00|1997-03-31
Mighty No. 9|X360|Platform|Deep Silver|Comcept|0.0|0.00|0.00|0.00|0.00|0.00|2016-07-01
Metal Slug 4|NG|Shooter|SNK|BrezzaSoft|0.0|0.00|0.00|0.00|0.00|0.00|2002-06-12
Souls|Series|Role-Playing|Bandai Namco Entertainment|From Software|0.0|0.00|0.00|0.00|0.00|0.00|2009-10-06
John Romero's Daikatana|N64|Shooter|Kemco|Ion Storm|3.9|0.00|0.00|0.00|0.00|0.00|2000-07-31
Mean 18 Golf|7800|Sports|Atari|Atari|0.0|0.00|0.00|0.00|0.00|0.00|1989-01-01
Master Levels for Doom II|PC|Shooter|id Software|id Software|0.0|0.00|0.00|0.00|0.00|0.00|1995-06-01
Cyber-Core|PCE|Shooter|NEC|Alfa System|0.0|0.00|0.00|0.00|0.00|0.00|1990-01-01
Big League Slugger Baseball|PS|Sports|Agetec|Now Production|0.0|0.00|0.00|0.00|0.00|0.00|2003-07-15
Cyber-Lip|NG|Shooter|SNK|SNK Corporation|0.0|0.00|0.00|0.00|0.00|0.00|1991-07-01
College Football USA 96|GEN|Sports|EA Sports|High Score Productions|0.0|0.00|0.00|0.00|0.00|0.00|1995-01-01
Cyber-Lip (CD)|NG|Shooter|SNK|SNK Corporation|0.0|0.00|0.00|0.00|0.00|0.00|1995-04-21
Deadliest Catch: Alaskan Storm|PC|Sports|Navarre Corp|Liquid Dragon Studios|0.0|0.00|0.00|0.00|0.00|0.00|2008-08-19
Dear Boys: Fast Break!|PS2|Sports|Konami|Konami|0.0|0.00|0.00|0.00|0.00|0.00|2003-09-18
Cyberdillo|3DO|Shooter|Panasonic Interactive Media|Pixel Technologies|0.0|0.00|0.00|0.00|0.00|0.00|1996-01-01
Matsukata Hiroki no World Fishing|SAT|Sports|MediaQuest|MediaQuest|0.0|0.00|0.00|0.00|0.00|0.00|1996-02-02
NCAA Football 98|PC|Sports|EA Sports|FarSight Studios|0.0|0.00|0.00|0.00|0.00|0.00|1997-09-30
